"indicator_id","dimension_id","indicator_original_name","indicator_direction","indicator_weight","date","period_id","geo_id","indicator_value","source_id","total","year"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2021-01-01","Y","ES-EX",89.1756431711482,"EVASTUR",FALSE,"2021"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2021-01-01","Y","ES-GA",93.2506049784782,"EVASTUR",FALSE,"2021"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2021-01-01","Y","ES-IB",159.445459693001,"EVASTUR",FALSE,"2021"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2021-01-01","Y","ES-MC",81.911458734415,"EVASTUR",FALSE,"2021"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2021-01-01","Y","ES-MD",238.540491712699,"EVASTUR",FALSE,"2021"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2021-01-01","Y","ES-ML",NA,"EVASTUR",FALSE,"2021"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2021-01-01","Y","ES-NC",103.873838609764,"EVASTUR",FALSE,"2021"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2021-01-01","Y","ES-PV",184.339757634617,"EVASTUR",FALSE,"2021"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2021-01-01","Y","ES-RI",116.832249228226,"EVASTUR",FALSE,"2021"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2021-01-01","Y","ES-VC",97.2856770556005,"EVASTUR",FALSE,"2021"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2021-01-01","Y","ESP",137.422810448734,"EVASTUR",TRUE,"2021"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2022-01-01","Y","ES-AN",136.729765267072,"EVASTUR",FALSE,"2022"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2022-01-01","Y","ES-AR",134.036517226892,"EVASTUR",FALSE,"2022"
